id,name,快捷键,冷却时间,技能消耗,Information
117,夜战模式,W,17秒,20法力,岛风发挥夜战优势，增加30%/35%/40%/45%/50%暴击率、75%移动速度（1秒后衰减为15%），持续4秒。
117,九四式爆雷,E,14/13/12/11/10秒,40/50/60/70/80法力,岛风向指定方向投射一枚九四式爆雷，命中第一个敌方单位后爆炸，对附近所有敌方单位造成40/70/100/130/160（+0.8额外AD）点物理伤害与50%减速，持续1.5秒。爆雷行进一定距离后速度加快，伤害增加50%。加速后造成60/105/150/195/240（+1.2额外AD）点物理伤害
117,威力巨大之九三式酸素鱼雷,R,0.5秒,35法力,岛风向指定方向发射一枚鱼雷，对命中的第一个敌方英雄造成80/130/180（+0.8AD）点物理伤害并且对沿途的小兵造成一半伤害。鱼雷最大存量5枚，每7秒补充1枚。
116,伏行的混沌,被动,,,"奈亚子进入光学迷彩力场4秒后潜行（若进入时处于技能潜行则直接潜行），离开光学迷彩力场或普通攻击/使用技能将结束潜行（不影响技能潜行）。潜行中受伤害不显形。
在奈亚子在离开草丛时若处于被动隐身状态则隐身时间会继续保持1秒
【注：只有在“进入”光学迷彩立场时才会直接潜行，在草丛里放Q然后不动是不会进入被动潜行的，要进出一次草丛才行】"
116,宇宙CQC二式·不可名状的棒状物体,Q,16/15/14/13/12秒,40/50/60/70/80法力,奈亚子扔出不可名状的棒状物体，对命中的所有敌方单位造成70/110/150/190/230（+0.2全AD）（+0.4AP）点法术伤害。1秒后进入4秒潜行，期间增加20%移动速度。普通攻击或使用技能将结束潜行。潜行中受伤害不显形。
116,宇宙CQC里百八式·八酒杯,W,8/7.5/7/6.5/6秒,40/45/50/55/60法力,奈亚子接连放出地面波动，每道波动对命中的所有敌方单位造成30/55/80/105/130（+0.4AP）点法术伤害与击飞（可连击浮空）。在潜行中使用时使目标SAN值急降，3秒内造成伤害减少20%（只限自身技能提供的潜行）。
116,宇宙CQC九七式·亵渎之手榴弹,E,13/12/11/10/9秒,40/50/60/70/80法力,奈亚子扔出邪恶亵渎难以言说混沌疯狂摧毁理智直呼其名亦属禁忌的手榴弹，对范围内所有敌方单位造成80/130/180/230/280（+0.7AP）法术伤害。在潜行中使用时使目标SAN值急降，3秒内造成伤害减少20%（只限自身技能提供的潜行）。
116,宇宙CQC百式之零·Dagon之神力,R,75/65/55秒,100/125/150法力,奈亚子召唤Dagon之神力打击一个敌方单位，造成邪恶亵渎难以言说混沌疯狂摧毁理智直呼其名亦属禁忌的350/450/550（+1.0AP）点法术伤害。对非英雄单位伤害翻倍。
115,冥恸柩缚,被动,,,白岩射手的技能会造成10%的减速效果，持续3秒。每叠加4重减速状态会令目标晕眩并造成10（+0.5AD全）的额外伤害并晕眩0.75秒
115,无懈白斩,Q,3秒,30法力,白岩射手挥舞镰刀，对范围内的敌人造成40/70/100/130/160（+0.6全AD）点物理伤害并叠加一层减速状态。
115,现世创造,W,16秒,45法力,6秒内增加自身10%/15%/20%/25%/30%的攻击力和移动速度，遭受英雄攻击则移除增益并获得80/140/200/260/320（+0.6额外AD）点护盾。护盾持续2秒，护盾存在期间受到伤害会对目标叠加一层减速。
115,鲜血结末,E,10秒,60法力,在1.5秒内射出5道光束，共造成100/150/200/250/300（+1.0AD全）点物理伤害并叠加减速状态。
115,悼亡圣裁,R,1秒,35法力,闪现到目标位置并对周围敌人造成60/100/140（+0.7全AD）点物理伤害并叠加一层减速。每次使用消耗一层可用层数，每18秒获得一层可用层数，最多叠加3层。技能升级时立刻获得一层可用状态。在白岩获得击杀时会直接回复1层充能
114,运动白痴&设定厨,被动,无,无,黑猫的移动速度降低1%，场上存在的每个预言道标为黑猫增加法术穿透8%，每个预言道标提供的法术穿透最多持续10秒。（不可再叠加至100%）
114,新约·命运预言书,Q,5/4.5/4/3.5/3秒,45法力,黑猫打开预言书召唤预言道标，对触碰的敌人造成70/110/150/190/230（+0.5AP）点法术伤害。预言道标存在5秒。
114,毒舌,W,12秒,90法力,黑猫使用恶毒的言语吐槽范围内的所有敌方单位，造成70/120/170/220/270(+0.8AP)点法术伤害。并使区域内的预言道标向外飞出。
114,傲娇,E,10秒,70法力,黑猫无法承受敌人的羞辱，一跺脚迅速跑走，获得傲娇防护，吸收60/100/140/180/220(+0.6AP)点伤害。过程中触碰预言道标将额外增加30/60/90/120/150(+0.2AP)点护盾值。护盾持续3秒。
114,诅咒/生涯最大诅咒,R,55秒,100法力,黑猫放出诅咒，对命中的所有地方单位造成225/350/475(+1.0全AP)法术伤害。诅咒触碰预言道标时，进化为生涯最大诅咒，体积急速扩大，多个道标可扩大多次。
113,空间能力者,被动,,,白井黑子面对1000范围内的友方御坂美琴移动时，会获得额外5%的移动速度加成。御坂美琴背对1000范围内的友方白井黑子移动时，会获得额外5%的移动速度加成。当白井黑子使用位移技能后，可以获得20%的移动速度加成，持续2秒。
113,金属箭矢,Q,6/5.5/5/4.5/4秒,30/35/40/45/50法力,对指定目标施放一组金属箭矢，造成50/85/120/155/190（+0.65AP）点法术伤害，并为目标增加一个箭矢标记（最多只能同时标记一个单位），对同一目标连续施放2次后，会降低金属箭矢50%的冷却时间，8秒内对同一目标连续释放三次后，会将目标定身1秒，并造成目标最大生命值6%/7%/8%/9%/10%的真实伤害（对怪物最多造成500点真实伤害）
113,跳转/迁移,W,16/15/14/13/12秒,50/55/60/65/70法力,跳转：白井黑子瞬移到目标身边并施加4秒迁移标记，若目标是友军则增加200范围内友军20%移动速度，持续1秒。若目标是敌人则对200范围内的敌方单位造成40/65/90/115/140（+0.4AP）点法术伤害。此后获得二段技能：迁移迁移：白井黑子将拥有迁移标记的目标传送到指定点，若目标是友军则增加200范围内友军20%移动速度，持续1秒。若目标是敌人则对200范围内的敌方单位造成40/65/90/115/140（+0.4AP）点法术伤害。黑子与标记目标距离超过400时，则无法转移目标。
113,空间折叠,E,18/16/14/12/10秒,40法力,白井黑子瞬间出现在指定的目标地点，并且降低其他技能冷却时间3/3.5/4/4.5/5秒。
113,箭阵,R,150/135/120秒,100点法力值,白井黑子对周围的敌人施放大量的金属箭矢，将目标定身，持续1秒。随后对目标造成250/375/500（+0.8AP）点法术伤害。
112,敏感,被动,,,每次受到背后的英雄攻击时，尾巴会充能，累计到15层时会向背后发射尾巴炮造成30（+0.45AP）点法术伤害。主动使用尾巴炮时会消耗所有层数并提升层数*3%的伤害。
112,加农花,Q,12/11/10/9/8秒,50/50/50/50/50法力,在目标地点召唤加农花，每秒朝500范围内的某个敌方英雄发射炮弹，对命中的敌人造成30/50/70/90/110（+0.3AP）点法术伤害，持续5秒。（食人花只会受到来自普通攻击的伤害，并且不会受到普通攻击附带效果的影响。食人花的生命值为4点）
112,食人花,W,16/16/16/16/16秒,80/80/80/80/80法力,在目标地点埋藏食人花，有敌方英雄路过时会激活并对周围单位造成60/110/160/210/260（+0.6AP）点法术伤害，食人花在激活后会迅速死亡。食人花最多存在30秒。
112,藤蔓,E,2/2/2/2/2秒,45点法力值,向目标方向射出藤蔓，减速沿途敌人并造成40/70/100/130/160（+0.5AP）点法术伤害，减速效果持续3秒，最多叠加三次。藤蔓可以恢复加农花的生命值，并且立刻激活食人花并且延长其存在时间。藤蔓拥有200码视野
112,尾巴炮,R,60秒,100/100/100法力,向目标区域发射闪电，对命中的敌人造成250/400/550（+1.0AP）点伤害。（增幅命中的植物，加农花获得分裂攻击，增加食人花的体型使其击飞敌人并造成50%额外伤害）
111,Bone of Sword,被动,,,Archer投影的所有宝具都是无限剑制的一部分。攻击力增加16%，使用无限剑制（以固有结界持续时间结束起计）后30秒内增幅减半。
111,干将·莫邪,Q,14/13/12/11/10秒,50法力,被动：Archer每进行3次普通攻击，将持有的干将·莫邪投掷，对命中的所有敌方单位（包括普攻目标）造成10/20/30/40/50（+0.4额外AD）点物理伤害，并立刻投影出新的干将·莫邪，使此次攻击附加（+0.5AD额外）点物理伤害。主动：Archer激发魔术回路，3秒内每次普通攻击都触发干将·莫邪被动效果。击杀/助攻将减少该技能6/3秒冷却
111,投影/幻想崩坏,W,16/15/14/13/12秒,40/45/50/55/60法力,Archer投影一件随机宝具，6秒内增加20%/25%/30%/35%/40%攻击速度。3秒内可使用二段技能幻想崩坏：将宝具射出，命中第一个敌方单位或达到最大距离时引爆对附近所有敌方单位造成70/110/150/190/230（+0.9额外AD）（+0.6AP）点物理伤害。
111,炽天覆七重圆环,E,16/15/14/13/12秒,40/45/50/55/60法力,Archer向指定方向冲刺，到达后投影炽天覆七重圆环，具有7层防御，持续3秒，层数归零前可完全抵挡伤害。单次伤害超过12/18/24/30/36（+0.1AD额外）破坏1层（超过n层则破坏n层），超额部分不伤害Archer本身。
111,无限剑制,R,200/170/140,120/140/160,Archer展开固有结界·无限剑制，覆盖全地图，同时以自身为中心产生剑围，持续5秒，固有结界内的投影宝具每0.5秒对所有敌方英雄造成20/27/34（+0.15额外AD）点物理伤害，不触发灵魂火炬，该伤害对剑围内的敌方英雄增加80%剑围外造成200/270/340（+1.5额外AD）点物理伤害剑围内造成360/486/612（+2.7额外AD）点物理伤害
110,人类的感情,被动,,,鹿目圆香每次直接杀/助攻时可净化灵魂宝石 获得2/1层净化度 最高10层 每层增肌2/5秒法力回复 鹿目圆香的普通攻击为法术伤害 且附加（15+净化度*2）%AP的法术伤害（受法术吸血 穿透影响 不受物理暴击 吸血 穿透影响）死亡后灵魂宝石陷入污浊（净化度归零）
110,救济的祈愿,Q,10/9/8/7/6秒,40/50/60/70/80法力,鹿目圆香在目标区域降下一阵箭雨 对命中的所有敌方单位造成40/80/120/160/200（+0.7AP）点法术伤害 为命中的所有友方单位回复25/40/55/70/85（+0.25AP）点生命值
110,奇迹的现世,W,17/15/13/11/9秒,40/50/60/70/80法力,鹿目圆香同时射出两道光箭，一道向指定方向射出，对命中的第一个敌方单位造成30/45/60/75/90（+0.2AP）（+3%最大法力值）点法术伤害，1.5秒内减少目标50%的移动速度另一道追踪最近的敌方单位（优先英雄）效果相同两道光箭可对同一目标单位生效
110,因果的层积,E,15/13/11/9/7秒,50/50/50/50/50法力,被动：鹿目圆香使用技能时累积一层因果 每5层因果转化为1层业力，每层业力增加20/25/30/35/40最大法力值，最高25层。主动：鹿目圆香为此后（4+因果层数）次普通攻击附加（自身最大法力值+目标最大法力值）*3%的法术伤害且射程增加70/90/110/130/150 该技能本身不累积因果
110,少女的末路,R,90/80/70秒,100/100/100法力,被动：鹿目圆香死亡时化身救济的魔女 隐藏在破灭的风暴中 持续6秒，无敌，可移动，不可攻击或使用技能。每0.5秒对附近的所有敌方单位造成20/26/32（+0.07AP）点法术伤害。主动：鹿目圆香8秒内增加35%/40%/45%攻击速度与法术吸血 结束后减少1层因果，1层业力 2秒内自身变为风暴，增加25%移动速度（不会因此死亡）
109,王的能力,被动,,,樱满集附近每个未感染启示录病毒的友方英雄将与其链接，为自身提供3%攻击、攻速、移速、护甲、魔抗。樱满集的技能可使友方英雄感染启示录病毒，不能对已感染者使用。断开链接后启示录病毒消失。
109,歌手的剑,Q,3秒,50法力,樱满集从一个友方英雄身上抽出剑，对附近所有敌方单位造成30/60/90/120/150（+1.0全AD）点物理伤害，并产生连线-虚空。每一根虚空连线提升技能伤害50%。
109,舞者的鞋,W,6秒,50法力,樱满集冲锋至一个友方英雄身边，产生连线-离子。友方经过该连线时2秒内移速度增加20%，敌方经过时移动速度降低20%且每秒受到40/60/80/100/120（+0.4AD额外）点物理伤害。
109,恋人的绷带,E,8秒,80法力,樱满集指定一个友方英雄，产生连线-绷带。连线上的所有友方英雄每秒回复8/14/20/26/32（+0.05AP全）生命值。
109,国王的心,R,90秒,100法力,樱满集在4秒内引发8次冲击，共对敌人造成320/640/960（+6额外AD）物理伤害并使其降低10%/20%/30%法术强度，攻击力和移动速度，恢复友军320/480/640（+1.6AP全）点生命值，周围友军的启示录病毒能够增加技能的威力（虚空链接增加技能伤害，离子链接增加属性削弱效果，只有链接了绷带的友方英雄才能享受到国王的心得额外治疗效果。）。吟唱结束后会清除范围内友军的启示录病毒。樱满集从周围友军体内获得支配能力，12/14/16秒内每次普攻引发冲击，额外造成30/50/70+（0.1AD*
108,死神小学生,被动,无,无,柯南所到之处必有凶案发生。1000范围内的所有非友方非英雄单位（不包括欧西里斯天空龙、青眼白龙、红/蓝库巴、水箭龟、召唤物）每5秒有5%几率突然暴毙，离奇死亡。其遗产（掉落金钱）将作为破案经费由柯南收下。
108,手表麻醉枪,Q,15/13/11/9/7秒,60法力,柯南向指定方向发射一枚麻醉针，对命中的第一个敌方英雄造成30/60/90/120/150（+0.5AD全）（+0.3AP全）点物理伤害并附加麻醉效果，1.5秒内使其沉睡（受到来自英雄的伤害时苏醒）。若某一英雄累计被麻醉针刺中5次，则将产生不可预知的智力损伤，获得“沉睡的名侦探”称号，沉睡时间延长1秒，且无需沉睡即可被“领结型变声器”控制（仅限该局）。
108,领结型变声器,W,24/22/20/18/16秒,60/70/80/90/100法力,柯南使用领结型变声器模仿一个敌方英雄，若其未沉睡，则使其因迷惑而沉默1/1.5/2/2.5/3秒。若其已沉睡，则可假借其名义进行推理，获得目标控制权（不能控制免疫控制的英雄），持续1/1.5/2/2.5/3秒。期间目标无被动/二段/召唤师/道具技能，造成伤害与所受伤害均减少90%。柯南自身需引导，且暴露视野。控制结束时受控者第一个被使用的技能将进入12秒冷却，其他被使用的技能冷却返还，柯南每使用受控者的一个技能，领结型变声器的冷却增加5秒。
108,太阳能滑板/足球腰带,E,5/4.5/4/3.5/3秒,50/60/70/80/90法力,被动：太阳能滑板：柯南脱离战斗6秒后踏上太阳能滑板滑行，移动速度增加5%/10%/15%/20%/25%。主动：足球腰带：柯南向指定方向提出高压还原足球，对一直线上所有敌方单位造成40/70/100/130/160（+0.7AD全）点物理伤害与击飞。
108,凶手就在我们中间,R,90/80/70秒,90/110/130法力,凶手就是你！柯南指控一个敌方英雄为真犯人，持续10秒。期间柯南推出三种犯罪手法，将图标排列在身前。柯南可点击一种犯罪手法以使用二段技能：真相只有一个！将选中的犯罪手法认定为真相，识破之。手法之一：伪装身份。被识破后凶手露出疯狂的真面目，受到120/180/240（+0.5AP全）点法术伤害并在1.5/1.75/2秒内陷入混乱。手法之二：密室杀人。被识破后凶手再次引发机关却误伤自己，受到120/180/240（+0.5AD全）点物理伤害并定身2/2.25/2.5秒。手法之三：不在场证明。被识破后凶手开
107,主人公补正,被动,,,涅普顿身为海王星化身 持有主人公补正 生命值 法力值 攻击力 法术强度 攻击速度 护甲 法术防御 移动速度增加5% 
107,穿刺联袭,Q,12秒,40/50/60/70/80法力值,"涅普向指定目标发起一段冲锋,12秒内总共可以发起3段冲锋，每次冲锋造成2次斩击以及击退目标，单次斩击伤害为15/25/35/45/55（0.4全AD)物理伤害。现在可以重置普攻。"
107,32式X剑,W,15/14/13/12/11秒,40/50/60/70/80法力,涅普顿指定一个敌方单位召唤数据巨剑对附近所有敌方单位造成35/60/85/110/135（+0.6额外AD）点物理伤害，并减速35%，持续2秒对直接被剑本体击中的单位造成额外20/40/60/80/100(+0.5全AD)点物理伤害 。对非英雄单位额外造成50%的伤害。
107,炎流崩裂,E,16/15/14/13/12秒,35/40/45/50/55法力,"涅普顿向指定方向进行突进，突进结束后对面突进方向锥形范围内的敌方目标施法炎弹，炎弹对碰撞到的目标造成40/70/100/130/160（1.0额外AD）物理伤害。并附加""灼热之痕"",状态持续3秒。"
107,胜利冲锋,R,60/42.5/25秒,100/150/200法力值,涅普顿向目标发起胜利冲锋，对目标造成200/300/400（+0.8额外AD）物理伤害，并对其减速60%.持续1秒.若目标处于灼热之痕状态下，则附加眩晕1秒.
106,破甲系统,被动,无,无,"金色之暗每3秒获得2%护甲穿透,最多10层,每次攻击或者使用技能消耗1层.当破甲效果满层数时,下次攻击附带（0.3AD）真实伤害.每层恢复间隔为4秒。"
106,变形：刃,Q,12/11/10/9/8秒,40/50/60/70/80法力,"金色之暗固化手部刀刃,增加150%移动速度,持续1.5秒4秒内下次普通攻击额外造成40/80/120/160/200（+0.8全AD)点物理伤害此次攻击不消耗破甲层数并且回复1层破甲层数此后1.5秒内的普攻攻击不消耗破甲层数"
106,变形：拳,W,10/9/8/7/6秒,40/50/60/70/80法力,"金色之暗开启头发的拳状变形,对前方连续轰击2次对命中所有单位造成40/110/180/250/320（+0.8全AD)点物理伤害第一击2秒内减少目标10/15/20/25/30点护甲,第二击造成击飞。"
106,变形：门,E,20/18/16/14/12秒,80法力,"金色之暗在目标地点及自己身边开启两道传送门,3秒后消失每道传送门只允许1个英雄进入传送门存在期间如果使用2段技能,则将传送门中英雄传送到另外一端如果没有使用,则传送门中英雄在原地出现."
106,变形：翼,R,90/80/70秒,无,"金色之暗展开双翅,增加100韧性,移动速度增加35%/50%/65%,无视单位体积阻挡,持续6/8/10秒期间其他技能变成光刃刺杀对敌方英雄造成60/100/140(+0.7/0.9/1.1全AD)点物理伤害，CD5秒,不享受冷却缩减.再次使用该技能可以结束变形.攻击距离增加为160.开启后将直接获得满层被动效果，期间不消耗被动层数。"
105,神衣鲜血,被动,无,无,缠流子每损失100生命，增加3攻击力。缠流子在鲜血沸腾状态下部分技能获得进化，与未进化的技能共用冷却。
105,疾风,Q,12,24/30/36/42/48生命值,缠流子进入疾风状态，进行攻击后结束。每秒增加20%移动速度，持续3/4/5/6/7秒。速度达到500后将进入鲜血沸腾状态。进化：鲜血疾风。 鲜血疾风：缠流子向指定方向冲锋，对沿途所有敌方单位造成60/100/140/180/220（+0.6AD全）物理伤害，命中后进入鲜血沸腾状态。进化：閃刃疾風 閃刃疾風：缠流子高速旋转移动，持续3/4/5/6/7秒，并对附近所有敌人每0.25秒造成30/60/90/120/150点物理伤害。持续时间随疾风等级提升，每秒伤害随闪刃等级提升。旋转期间受到眩晕，嘲讽，沉默
105,闪刃,W,8/7/6/5/4秒 ,24/30/36/42/48生命值,缠流子挥舞太剪刀，对面前所有敌人造成30/60/90/120/150（+0.6/0.7/0.8/0.9/1.0AD全）点物理伤害，命中后进入鲜血沸腾状态。进化：鲜血闪刃。 鲜血闪刃：缠流子以太剪刀划出弧光，对附近所有敌人造成30/60/90/120/150（+0.6/0.7/0.8/0.9/1.0AD全）点物理伤害，命中后进入鲜血沸腾状态。进化：疾風閃刃 疾風閃刃：缠流子高速旋转移动，持续3/4/5/6/7秒，并对附近所有敌人每0.25秒造成30/60/90/120/150点物理伤害。持续时间随疾风等
105,鲜血无拍子,E,12秒,24/27/30/33/36生命值,缠流子进入无拍子状态，增加40/70/100/130/160+25%护甲与法术抗性，无法移动，持续1秒，前方受到攻击则立即结束，对面朝方向反射震波，造成80/140/200/260/320（+0.6AD）物理伤害，并进入鲜血沸腾状态。
105,战维丧失,R,0.1/0.1/0.1/0.1秒 ,5%当前生命值,被动：缠流子使用戰維喪失杀死敌人时，回复自身5%最大生命值。主动：缠流子朝目标冲锋，接触到目标时造成10/60/110/160（+1.0AD全）点物理伤害，冲锋过程中进入鲜血沸腾状态。若该技能杀死英雄/非英雄单位，则吸收2/1战维，每1战维增加1/3/5/7生命上限。叠加上限255层。该技能对同一目标10/9/8/7内无法重复使用。冲锋过程中使用鲜血闪刃能够打断冲锋，如果冲锋被打断时未命中目标，鲜血闪刃会附带战维丧失的生命回复效果。
104,战场的轮回,被动,,,"晓美焰每次击杀/助攻获得净化层数2/1,每层提供2点/5秒法力值恢复,最高10层,死亡后复活时间减少4%*净化度,复活后净化度归零."
104,溯时的祈愿,Q,12/11/10/9/8秒,20法力,"被动:晓美焰每隔7/6/5/4/3秒从时之盾中取出随机武器RPG/M18地雷/M84手雷放置在晓美焰周围,存在3秒,晓美焰可以走到武器上面拾取武器(如果未[持有]武器则加入[持有]栏,已经有武器则替换到[回收]栏)``````主动:晓美焰将[回收]栏中武器替换到[持有]栏,如果[回收]栏中没有武器,则随机取出武器到[持有]栏,使用该技能后3秒内被动失效."
104,奇迹的背袭,W,手枪22/20/18/16/14秒,30/40/50/60/70,"晓美焰使用[持有]栏的武器进行攻击,如果[持有]栏没有武器,则默认为沙漠之鹰：将弹药还原为魔力，进行短距离瞬移。M84震撼弹：对附近所有敌方单位造成190（+0.7额外AD）（+0.6AP）点法术伤害，减少其40%移动速度并致盲（减少100命中），持续1秒。RPG-7/AT-4火箭筒：命中第一个敌方单位或飞行至最大距离时，爆炸，对附近所有敌方单位造成110（+1.1全AD）物理伤害。M18A1阔刀地雷：在指定地点安放，接触敌方单位时小规模引爆，对其造成30/55/80/105/130（+0.4额外A"
104,锁缚的破却,E,18/17/16/15/14秒,20法力,"被动效果:降低攻速,提高攻击力(15%/17%/19%/21%/23%)主动效果:将M249轻机枪加入到[持有]栏M249轻机枪：向前方扇形区域往复扫射，持续1.5秒，每0.1秒对命中的所有敌方单位造成6/12/18/24/30（+0.25全AD）点物理伤害（可暴击、吸血、不触发装备特效）。移动可结束扫射ps：联通是不能结束扫射的"
104,少女的决意,R,90/70/50,50,"晓美焰在时间停止瞬间部署16枚RPG在身边,RPG存在时间为50秒,50秒内可以额外拾取RPG,额外拾取的RPG在15秒内(每次额外拾取时,都会刷新为15秒)通过时间停止能力同时射出(3/4/5)枚火箭弹,对同一目标后续爆炸造成25%伤害.开启技能后立刻将[持有]栏武器替换为RPG,并且接下来15秒内,获得武器均为RPG."
103,视频过载,被动,,,立华奏的下一次技能伤害会获得20%的提升，这个效果每10秒触发一次。
103,音速手刃,Q,4/3.5/3/2.5/2秒,20/25/30/35/40法力,立华奏挥动短剑，对一直线上的目标造成20/40/60/80/100（+1.0全AD）物理伤害该伤害可以暴击，触发攻击特效，暴击伤害为150%。5秒内对同一目标施放则会召唤一层冰层包裹身体，增加物理与法术抗性10/15/20/25/30点，持续2秒。不享受冷却缩减，每次普通攻击会降低音速手刃的冷却时间0.5秒。
103,扭曲力场,W,18秒,50法力,被动效果：增加7/9/11/13/15点闪避。主动效果：获得扭曲立场保护，减少受到伤害的20%，并将其反弹给伤害来源（防御塔除外），持续4/4.5/5/5.5/6秒。
103,波形延迟,E,14/13/12/11/10秒,50法力,对自身附近所有敌方单位造成60/90/120/150/180（+0.8额外AD）点物理伤害，并提升自身攻击速度30%/35%/40%/45%/50%和移动速度40%，降低范围内敌方单位20%的攻击速度和移动速度，持续3秒。在加速期间立华奏的每次普通攻击都将延长自身的加速时间1秒，最多延长3秒。延长的时间会在初始时间结束后生效。
103,高频咆哮,R,100/90/80秒,100法力,交叉2级音速手刃发出的音波冲击，对附近所有敌方单位造成200/300/400（+0.8额外AD）点物理伤害，并眩晕1秒。
102,神威灵装·十番,被动,,,"十香以灵力驱动灵装,法力值在50%以上时获得灵装增幅,每比100%法力低5%,则增加2%攻击力和移动速度.法力值在50%以下时获得灵装保护,每比0%高5%法力,增加2%护甲和法术抗性"
102,鏖杀公,Q,7/6.5/6/5.5/5秒,40/45/50/55/60法力,十香挥动鏖杀公，对前方扇形区域内所有敌方单位造成40/65/90/115/140（+0.45全AD)点物理伤害，同时向该方向斩出一道剑压，对命中的所有敌方单位造成40/65/90/115/140（+0.45全AD)点物理伤害
102,王座,W,22/20/18/16/14秒,50法力,"十香在指定地点召唤王座,对附近敌方单位造成50/90/130/170/210（+0.5全AD)点物理伤害，击退附近所有敌方单位。十香获得一层剑身武装，最大三层。"
102,空间震,E,14/13/12/11/10秒,50法力,"十香引发空间震,4秒内以自身为中心对附近所有敌方单位造成3次击飞，每次附加30/50/70/90/110（+0.4额外AD）（+0.4AP)点伤害"
